Afghanistan,292586.58
Albania,111247.2
Algeria,522317
Argentina,514000
Armenia,92652.69
Australia,284896.51
Austria,206290
Azerbaijan,308386.4
Belarus,336700
Belgium,249740
Bhutan,2323.81
Bolivia,2738.82
Bosnia and Herz.,82591
Brazil,1297424
Bulgaria,44030
Canada,351565
Chile,1556805.14
China,45983400
Colombia,13081.43
Croatia,59690
Cyprus,2650
Czech Rep.,114960
Dem. Rep. Korea,807170.26
Denmark,30560
Ecuador,7191.7
Egypt,793299.26
El Salvador,43921.56
Estonia,1970
Finland,7890
France,1633080
Georgia,73700
Germany,1004630
Greece,281590
Guatemala,25446.42
Honduras,189.45
Hungary,514520
India,2276000
Iran,2241100
Iraq,78917
Ireland,15860
Israel,101000
Italy,2211740
Japan,733056.03
Jordan,20536.96
Kazakhstan,262808.77
Kenya,118.03
Kyrgyzstan,136651.64
Latvia,8200
Lebanon,233001.69
Libya,16246.58
Lithuania,36440
Luxembourg,1010
Madagascar,7153.15
Malawi,3160.95
Mexico,631766.79
Montenegro,1546.16
Morocco,889736
Nepal,47865
Netherlands,245000
New Zealand,567300.6
Macedonia,92863
Norway,18721
Pakistan,697220.91
Palestine,938.98
Paraguay,645.2
Peru,143083.67
Poland,4067400
Portugal,368230
Korea,515931
Moldova,647700
Romania,593700
Russia,2216200
Serbia,513238
Slovakia,29590
Slovenia,23010
South Africa,1148771
Spain,615830
Sweden,32230
Switzerland,207044
Syria,301609.79
Tajikistan,239127.35
Tunisia,155000
Turkey,4493264
Turkmenistan,66784.22
Ukraine,1278870
United Kingdom,463592.74
United States,4467206
Uruguay,56000
Uzbekistan,1238188
Yemen,20825.82
Zimbabwe,6640.31
